Video ID,Bitrate,Codec Type,Quality Type
7419313856138186016,759274,h265_hvc1,14
7419313856138186016,582645,h265_hvc1,28
7448758238897638678,1569729,h265_hvc1,2
7448758238897638678,1198331,h264,20
7448758238897638678,934578,h265_hvc1,14
7448758238897638678,724248,h265_hvc1,28
7448758238897638678,657305,h264,24
7447896709188865312,1116285,h264,20
7447896709188865312,749575,h265_hvc1,14
7447896709188865312,695897,h264,24
7447896709188865312,604646,h265_hvc1,28
7459712066622852359,1135037,h265_hvc1,2
7459712066622852359,1117680,h264,20
7459712066622852359,733100,h265_hvc1,14
7459712066622852359,624687,h265_hvc1,28
7458376652603673878,2158263,h265_hvc1,2
7458376652603673878,1175673,h264,20
7458376652603673878,808570,h265_hvc1,14
7458376652603673878,649878,h265_hvc1,28
7458376652603673878,635647,h264,24
7133198612338691329,3061132,h264,20
7133198612338691329,1944953,h265_hvc1,14
7133198612338691329,1856916,h264,24
7133198612338691329,1515646,h265_hvc1,28
7324414672038415621,164678,h264,20
7324414672038415621,99929,h264,24
7324414672038415621,82286,h264,25
7114275701456440603,1269272,h264,20
7114275701456440603,1205695,h265_hvc1,14
7114275701456440603,1134466,h264,24
7114275701456440603,920595,h265_hvc1,28
7459140435525635334,2930820,h264,20
7459140435525635334,1001012,h264,25
7459140435525635334,916388,h265_hvc1,28
7401527882465463584,1258865,h264,20
7401527882465463584,600002,h265_hvc1,14
7401527882465463584,559927,h264,25
7401527882465463584,500095,h265_hvc1,28
7342433825701547297,3002626,h265_hvc1,2
7342433825701547297,2996766,h264,20
7342433825701547297,1611545,h265_hvc1,14
7342433825701547297,1476708,h264,24
7342433825701547297,1293731,h265_hvc1,28
7358518461418556705,145457,h265_hvc1,14
7358518461418556705,115113,h264,20
7358518461418556705,93781,h265_hvc1,28
7358518461418556705,77059,h264,25
7430724718631701792,939431,h264,20
7430724718631701792,881509,h265_hvc1,2
7430724718631701792,606205,h265_hvc1,14
7430724718631701792,594411,h264,24
7430724718631701792,493913,h265_hvc1,28
7399139152790326574,2851355,h264,20
7399139152790326574,2321225,h265_hvc1,2
7399139152790326574,1389473,h265_hvc1,14
7399139152790326574,1138212,h265_hvc1,28
7399139152790326574,960791,h264,25
7467116238343310598,782800,h264,24
7467116238343310598,559479,h264,25
7458438336311594262,1156656,h264,20
7458438336311594262,649255,h264,24
7458438336311594262,629172,h265_hvc1,14
7458438336311594262,494575,h265_hvc1,28
7421178040161406216,1410104,h264,20
7421178040161406216,790281,h265_hvc1,2
7421178040161406216,494754,h265_hvc1,14
7421178040161406216,415797,h265_hvc1,28
7448457512698907909,587957,h264,20
7448457512698907909,265004,h264,25
7446172713175043344,2455389,h264,20
