video_path,duration_seconds,subtitle_text
data/raw/videos\streetfood\magnetic.bell_7383660693146406161.mp4,0,No subtitles found
data/raw/videos\streetfood\magnetic.bell_7405645638542576903.mp4,0,No subtitles found
data/raw/videos\streetfood\magnetic.bell_7415649268725288210.mp4,0,No subtitles found
data/raw/videos\streetfood\mayofood_7263819661840583954.mp4,0,No subtitles found
data/raw/videos\streetfood\meetyou375_7341297473794706690.mp4,0,No subtitles found
data/raw/videos\streetfood\nativetyfood_7431657439541333290.mp4,0,No subtitles found
data/raw/videos\streetfood\nikkacarolino_7433052739699035409.mp4,0,No subtitles found
data/raw/videos\streetfood\painaideereview_7398582443294477576.mp4,0,No subtitles found
data/raw/videos\streetfood\pandasakha_7420639688756612360.mp4,0,No subtitles found
data/raw/videos\streetfood\sayaeattheworld_7039549617222044974.mp4,0,No subtitles found
data/raw/videos\streetfood\seagull_food_7245089087139400962.mp4,0,No subtitles found
data/raw/videos\streetfood\seagull_food_7285949350763662593.mp4,0,No subtitles found
data/raw/videos\streetfood\seagull_food_7317905693300837633.mp4,0,No subtitles found
data/raw/videos\streetfood\speedfoods_channel_7302740678952389894.mp4,0,No subtitles found
data/raw/videos\streetfood\stmnir_7408293929575124256.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfood8916_7456422547790318894.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfoodclip_7255802625449348357.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfoodclip_7258681919548722437.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfoodclip_7260163958408088837.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfoodeasy_7433754890268101896.mp4,0,No subtitles found
data/raw/videos\streetfood\streetfoodworldz_7390909596170194206.mp4,0,No subtitles found
data/raw/videos\streetfood\street_food71_7367029879046556971.mp4,0,No subtitles found
data/raw/videos\streetfood\tastyfoodtrip1_7316836708090203394.mp4,0,No subtitles found
data/raw/videos\streetfood\thefoodworld68_7362208694962081066.mp4,0,No subtitles found
data/raw/videos\streetfood\thefoodworld68_7378507191101213982.mp4,0,No subtitles found
data/raw/videos\streetfood\user5335210483332_7247436124967177490.mp4,0,No subtitles found
data/raw/videos\streetfood\wilmarbaguinan_7399618406988762386.mp4,0,No subtitles found
data/raw/videos\streetfood\world.foodie8_7264356791348153608.mp4,0,No subtitles found
data/raw/videos\streetfood\wsfc888_7123312966115724590.mp4,0,No subtitles found
data/raw/videos\streetfood\yummy_food02_7429898743647849729.mp4,0,No subtitles found
data/raw/videos\streetfood\yumyumindia_7128329015399714094.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\22_22_l_7085654634869706011.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\22_22_l_7154691522380827931.mp4,0,No subtitles found
